diff_mean,diff_std,diff_median,diff_p95,diff_max,subject_id,split
1.07347,1.0,0.66819,3.25409,3.60474,1BA294,val
1.2224,1.0,0.95379,3.31817,3.73227,1BB062,val
1.35847,1.0,1.13539,3.25566,3.6347,1BB111,val
1.18381,1.0,0.86931,3.3009,3.64685,1BC064,val
1.16734,1.0,0.79055,3.16752,3.46032,1BA158,val
1.10857,1.0,0.76272,3.21381,3.53098,1BC080,val
1.19333,1.0,0.91538,3.38138,3.72292,1BB096,val
1.12843,1.0,0.77798,3.1726,3.46983,1BC014,val
1.34508,1.0,1.05492,3.46472,4.09427,1BC086,val
1.28222,1.0,1.05284,3.45412,3.79321,1BA288,val
1.18059,1.0,0.79026,3.1833,3.35846,1BC007,val
1.21179,1.0,0.90611,3.29641,3.78023,1BB005,val
1.2813,1.0,1.02381,3.29291,3.70045,1BB173,val
1.2878,1.0,1.0358,3.23615,3.69278,1BB189,val
1.06289,1.0,0.69786,3.32462,3.6358,1BA058,val
1.24827,1.0,0.98783,3.33556,3.67488,1BB066,val
1.25686,1.0,0.99515,3.3623,3.75877,1BB041,val
1.19948,1.0,0.88574,3.31955,3.65378,1BB083,val
1.46743,1.0,1.21918,3.37657,4.1141,1BC081,val
1.11385,1.0,0.78812,3.31664,3.96379,1BA116,test
1.10742,1.0,0.71988,3.2234,3.6156,1BA256,test
1.61724,1.0,1.41563,3.61465,4.27588,1BC054,test
1.17082,1.0,0.84285,3.27906,3.87071,1BB044,test
1.36419,1.0,1.0727,3.33106,3.8606,1BC046,test
1.12523,1.0,0.70385,3.08475,3.34384,1BA100,test
1.09884,1.0,0.69609,3.19002,3.54395,1BA151,test
1.23734,1.0,0.97443,3.33722,3.82218,1BB017,test
1.25124,1.0,0.96647,3.21416,3.56422,1BB179,test
1.2647,1.0,1.0093,3.30178,3.56617,1BB200,test
1.22244,1.0,0.96491,3.31859,3.88212,1BB082,test
1.3619,1.0,1.0176,3.31369,3.66927,1BC065,test
1.27908,1.0,1.03835,3.39527,3.80321,1BB026,test
1.14435,1.0,0.77071,3.20886,3.44953,1BC038,test
1.13477,1.0,0.73653,3.06018,3.27117,1BA278,test
1.28161,1.0,1.02848,3.34976,3.61327,1BA103,test
1.09076,1.0,0.65968,3.15159,3.49304,1BA307,test
1.1484,1.0,0.78869,3.22031,3.6771,1BC009,test
1.15551,1.0,0.80466,3.3785,3.63204,1BB090,test
1.1393,1.0,0.75353,3.12973,3.37568,1BA358,test
1.29916,1.0,1.04808,3.23961,3.47968,1BB091,test
1.17888,1.0,0.79999,3.27308,3.59961,1BC001,test
1.11839,1.0,0.78171,3.2307,3.75383,1BC039,test
1.1379,1.0,0.72414,3.01899,3.21312,1BA184,test
1.15577,1.0,0.74494,3.15628,3.32729,1BA075,test
1.13464,1.0,0.77606,3.17995,3.60489,1BC083,test
1.25792,1.0,0.97738,3.18887,3.51856,1BB002,test
1.27285,1.0,1.02823,3.40745,3.7926,1BA111,test
1.19863,1.0,0.89165,3.30862,3.68011,1BC049,test
1.1562,1.0,0.83099,3.30496,3.61568,1BC084,test
1.20113,1.0,0.91602,3.23945,3.71771,1BB171,test
1.08799,1.0,0.65584,3.07594,3.2718,1BA345,test
1.11259,1.0,0.76326,3.29674,3.59823,1BC036,test
1.16373,1.0,0.7966,3.25715,3.51486,1BC010,test
1.20429,1.0,0.9274,3.4266,3.77368,1BB011,test
1.15202,1.0,0.72658,2.97201,3.16313,1BA175,test
